
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1A:91:82:A5:99:8D, 2018-04-22 00:28:15, 2018-04-22 00:28:20,  8,  54, WPA2, CCMP,PSK, -79,        6,        0,   0.  0.  0.  0,   0, , 
14:91:82:A6:02:27, 2018-04-22 00:28:15, 2018-04-22 00:28:15,  7,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,  19, 6 Cocks and a House, 
14:91:82:A4:BB:E7, 2018-04-22 00:28:15, 2018-04-22 00:28:22,  4,  54, WPA2, CCMP,PSK, -91,        8,        2,   0.  0.  0.  0,  19, 6 Cocks and a House, 
1A:91:82:A4:BB:E7, 2018-04-22 00:28:15, 2018-04-22 00:28:21,  4,  54, WPA2, CCMP,PSK, -89,        4,        0,   0.  0.  0.  0,   0, , 
B0:39:56:0E:F4:35, 2018-04-22 00:28:16, 2018-04-22 00:28:20,  3,  54, WPA2, CCMP,PSK, -94,        3,        0,   0.  0.  0.  0,  12, Moe's Tavern, 
B0:6E:BF:9C:DC:08, 2018-04-22 00:28:16, 2018-04-22 00:28:16,  9,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,  24, HotSinglesInYourArea_2.4, 
60:FE:20:E3:F3:3E, 2018-04-22 00:28:16, 2018-04-22 00:28:21,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -97,        6,        0,   0.  0.  0.  0,   6, ATT254, 
14:CC:20:66:77:8A, 2018-04-22 00:28:17, 2018-04-22 00:28:22,  6,  54, WPA2 WPA, CCMP,PSK, -97,        5,        0,   0.  0.  0.  0,  12, Minnie Mouse, 
0C:51:01:E6:38:3E, 2018-04-22 00:28:18, 2018-04-22 00:28:18,  6,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,   9, Boondocks, 
08:95:2A:51:B8:69, 2018-04-22 00:28:18, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -95,        3,        0,   0.  0.  0.  0,  12, YNFYNYTY 2.4, 
60:FE:20:4C:A6:FE, 2018-04-22 00:28:14, 2018-04-22 00:28:14,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -93,        1,        0,   0.  0.  0.  0,   6, ATT399, 
B0:7F:B9:89:E8:47, 2018-04-22 00:28:15, 2018-04-22 00:28:23,  1,  54, OPN, ,   , -93,        6,        1,   0.  0.  0.  0,  17, NETGEAR_EXT_2GEXT, 
BC:2E:48:FB:D6:50, 2018-04-22 00:28:14, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -91,        4,        1,   0.  0.  0.  0,   3, 509, 
E0:22:02:0A:89:6F, 2018-04-22 00:28:16, 2018-04-22 00:28:22, 11,  54, WPA2, CCMP,PSK, -89,        3,        0,   0.  0.  0.  0,   9, PBL-Guest, 
08:95:2A:EE:2B:5D, 2018-04-22 00:28:14, 2018-04-22 00:28:14,  1,  54, WPA2, CCMP,PSK, -83,        1,        0,   0.  0.  0.  0,   9, NachoWifi, 
B0:7F:B9:DA:62:2B, 2018-04-22 00:28:13, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -88,        5,        0,   0.  0.  0.  0,   9, NETGEAR33, 
1C:B7:2C:C5:D0:00, 2018-04-22 00:28:15, 2018-04-22 00:28:21,  4,  54, WPA2, CCMP,PSK, -71,        5,        1,   0.  0.  0.  0,  19, I_Believe_Wi_Can_Fi, 
48:00:33:BD:D8:2D, 2018-04-22 00:28:15, 2018-04-22 00:28:21,  3,  54, WPA2, CCMP,PSK, -72,       12,        1,   0.  0.  0.  0,   9, TC8715D27, 
E0:88:5D:68:F9:43, 2018-04-22 00:28:14, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -73,       10,        2,   0.  0.  0.  0,   8, Moonrise, 
60:19:71:ED:4B:50, 2018-04-22 00:28:14, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -77,        8,        0,   0.  0.  0.  0,   9, DG1670A52, 
14:B7:F8:B4:47:2B, 2018-04-22 00:28:17, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,  15, Ariel and April, 
40:70:09:B2:83:A0, 2018-04-22 00:28:18, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -73,        7,        0,   0.  0.  0.  0,   4, elbs, 
A0:63:91:59:CB:23, 2018-04-22 00:28:18, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   6, Konoha, 
20:C9:D0:28:E2:BF, 2018-04-22 00:28:15, 2018-04-22 00:28:23,  2,  54, WPA2 WPA, CCMP TKIP,PSK, -77,        7,        0,   0.  0.  0.  0,  16, Longhorn_Station, 
60:FE:20:29:D9:CE, 2018-04-22 00:28:16, 2018-04-22 00:28:21,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       13,        1,   0.  0.  0.  0,   6, ATT042, 
E0:88:5D:0F:E3:61, 2018-04-22 00:28:13, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -74,        6,        1,   0.  0.  0.  0,  14, KaWifi Leonard, 
18:A6:F7:BD:90:DB, 2018-04-22 00:28:15, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -70,        7,        2,   0.  0.  0.  0,  12, TP-LINK_90DB, 
54:8C:A0:0F:E1:54, 2018-04-22 00:28:14, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -67,        3,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
20:10:7A:A2:0C:9C, 2018-04-22 00:28:14, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -69,       19,        0,   0.  0.  0.  0,  14, MOTOROLA-FCCE0, 
C0:FF:D4:C0:C5:F4, 2018-04-22 00:28:16, 2018-04-22 00:28:21,  4,  54, WPA2, CCMP TKIP,PSK, -70,       11,        0,   0.  0.  0.  0,  10, ATT254_EXT, 
84:16:F9:8B:14:32, 2018-04-22 00:28:14, 2018-04-22 00:28:20,  7,  54, WPA2, CCMP,PSK, -55,       12,        0,   0.  0.  0.  0,  12, TP-LINK_1432, 
A4:2B:B0:CD:5A:04, 2018-04-22 00:28:15, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -57,       11,        2,   0.  0.  0.  0,  12, TP-LINK_5A04, 
B4:2A:0E:8F:76:18, 2018-04-22 00:28:13, 2018-04-22 00:28:22, 11,  54, WPA2, CCMP,PSK, -34,       12,      329,   0.  0.  0.  0,   6, Meghan, 
8C:7F:3B:39:59:20, 2018-04-22 00:28:13, 2018-04-22 00:28:23, 11,  54, WPA2, CCMP,PSK, -40,       20,        7,   0.  0.  0.  0,  10, ATT9s368Z6, 
14:91:82:A5:99:8D, 2018-04-22 00:28:20, 2018-04-22 00:28:20,  8,  -1, WPA, ,   , -73,        0,        2,   0.  0.  0.  0,   0, , 
60:19:71:EF:5D:60, 2018-04-22 00:28:21, 2018-04-22 00:28:22, 10,  -1, WPA, ,   ,  -1,        0,       13,   0.  0.  0.  0,   0, , 
84:A1:D1:7D:C2:C8, 2018-04-22 00:28:22, 2018-04-22 00:28:22, 11,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,  15, OperationDynamo, 
AC:EC:80:A5:D8:F0, 2018-04-22 00:28:22, 2018-04-22 00:28:22, 11,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,  19, 6 Cocks and a House, 
A8:11:FC:C8:4A:F0, 2018-04-22 00:28:22, 2018-04-22 00:28:22, 11,  54, WPA2, CCMP,PSK, -97,        1,        0,   0.  0.  0.  0,  10, ATT9AcIiVS, 
38:FF:36:01:44:A8, 2018-04-22 00:28:22, 2018-04-22 00:28:22, 11,  54, OPN, ,   , -97,        1,        0,   0.  0.  0.  0,  19, Kadirnet Texan WIFI, 
B0:EE:7B:CC:7D:61, 2018-04-22 00:28:22, 2018-04-22 00:28:22,  6,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
9C:D3:6D:9C:78:70, 2018-04-22 00:28:23, 2018-04-22 00:28:23,  1,  54, WPA2, CCMP,PSK, -87,        1,        0,   0.  0.  0.  0,   8, Caffeine, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:7F:B9:89:E8:47, 2018-04-22 00:28:14, 2018-04-22 00:28:21, -97,        6, (not associated) ,NETGEAR_EXT
E8:39:35:0D:42:BC, 2018-04-22 00:28:16, 2018-04-22 00:28:22, -73,        3, (not associated) ,2WIRE902
5C:F7:E6:95:D9:EA, 2018-04-22 00:28:18, 2018-04-22 00:28:18, -68,        2, 18:A6:F7:BD:90:DB,
64:27:37:FF:17:0B, 2018-04-22 00:28:13, 2018-04-22 00:28:22,  -1,      325, B4:2A:0E:8F:76:18,
B4:F7:A1:8E:D5:6A, 2018-04-22 00:28:13, 2018-04-22 00:28:13,  -1,        1, 8C:7F:3B:39:59:20,
E4:F0:42:B1:6C:34, 2018-04-22 00:28:21, 2018-04-22 00:28:22, -97,       13, 60:19:71:EF:5D:60,

